2023-10-26 09:21:44.466 INFO - [  restartedMain] org.springframework.amqp.rabbit.connection.CachingConnectionFactory 630 : Attempting to connect to: [localhost:5672]
2023-10-26 09:21:44.540 INFO - [  restartedMain] org.springframework.amqp.rabbit.connection.CachingConnectionFactory 581 : Created new connection: rabbitConnectionFactory#3f72680d:0/SimpleConnection@245e7e85 [delegate=amqp://guest@127.0.0.1:5672/, localPort=57862]
2023-10-26 09:21:44.657 INFO - [  restartedMain] com.example.employeeProject.EmployeeProjectApplication 57 : Started EmployeeProjectApplication in 11.133 seconds (process running for 13.603)
2023-10-26 09:40:22.224 INFO - [ntContainer#0-2] org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer 645 : Waiting for workers to finish.
2023-10-26 09:40:22.841 INFO - [ntContainer#0-2] org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer 649 : Successfully waited for workers to finish.
2023-10-26 09:40:23.008 INFO - [ionShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean 650 : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-26 09:40:23.015 INFO - [ionShutdownHook] com.zaxxer.hikari.HikariDataSource 350 : HikariPool-1 - Shutdown initiated...
2023-10-26 09:40:23.035 INFO - [ionShutdownHook] com.zaxxer.hikari.HikariDataSource 352 : HikariPool-1 - Shutdown completed.
2023-10-26 09:40:35.092 INFO - [kground-preinit] org.hibernate.validator.internal.util.Version 21 : HV000001: Hibernate Validator 8.0.1.Final
2023-10-26 09:40:35.157 INFO - [  restartedMain] com.example.employeeProject.EmployeeProjectApplication 51 : Starting EmployeeProjectApplication using Java 17.0.9 with PID 30563 (/home/user/Documents/employeeProject/target/classes started by user in /home/user/Documents/employeeProject)
2023-10-26 09:40:35.164 DEBUG - [  restartedMain] com.example.employeeProject.EmployeeProjectApplication 52 : Running with Spring Boot v3.1.4, Spring v6.0.12
2023-10-26 09:40:35.167 INFO - [  restartedMain] com.example.employeeProject.EmployeeProjectApplication 637 : No active profile set, falling back to 1 default profile: "default"
2023-10-26 09:40:35.256 INFO - [  restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor 250 : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-10-26 09:40:35.259 INFO - [  restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor 250 : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-10-26 09:40:36.643 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate 291 : Multiple Spring Data modules found, entering strict repository configuration mode
2023-10-26 09:40:36.645 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate 138 : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-10-26 09:40:36.951 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate 208 : Finished Spring Data repository scanning in 291 ms. Found 4 JPA repository interfaces.
2023-10-26 09:40:36.990 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate 291 : Multiple Spring Data modules found, entering strict repository configuration mode
2023-10-26 09:40:36.993 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate 138 : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
